key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_singe_units_wh_all
singe_ancient_razordon_spike	false	singe_ancient_razordon_spike_launch		false
singe_blissbarb_bow	false	singe_blissbarb_arrow	bow	false
singe_burningthunder_gun	false	singe_burningthunder_grenade	grenade_launcher	false
singe_chd_infernal_bazukagun	false	singe_chd_infernal_bazukashell	troll_hammer	false
singe_chd_infernal_magmagun	false	singe_chd_infernal_magmablast	drakegun	false
singe_chd_rifle_rifle	false	singe_chd_rifle_shot	repeater_gun	false
singe_chd_tracker_crossbow	false	singe_chd_tracker_bolt	crossbow	false
singe_deck_burn	false	singe_deck_burn_shot		false
singe_deck_dropper_handcannon	false	singe_deck_dropper_handcannon_shot		false
singe_depth_pistol	false	singe_depth_pistol_bullet		false
singe_grn_spider_chariot_bow	false	singe_grn_spider_chariot_bow		false
singe_gyro_drake	false	singe_gyro_flame	brinstone_gun	false
singe_horror_flamethrow	false	singe_horror_flameball		false
singe_ice_rider_bow	false	singe_ice_rider_arrow	bow	false
singe_inf_grenaderifle	false	singe_grenadier_grenade	grenade_launcher	false
singe_irondrake_drakefire	false	singe_irondrake_drakefire_shot	pistol	false
singe_necrofex_rocketeer	false	singe_necrofex_rockets		false
singe_necrofex_shrapnelcannon	false	singe_necrofex_shrapnel		false
singe_nehek_bow	false	singe_nehek_arrow	bow	false
singe_ogr_rocketlauncher	false	singe_ogr_rocket	rocket_battery	false
singe_plague_sling	false	singe_plague_sling_shot		false
singe_plague_spew	false	singe_plague_guts		false
singe_redcrest_javelin	false	singe_redcrest_javelina		false
singe_screaming_fireball	false	singe_screaming_fireblast	hell_cannon	false
singe_sister_bow	false	singe_sister_bow_arrow	bow	false
singe_tomb_bow	false	singe_tomb_arrow	bow	false
singe_tze_doomsayer_blast	false	singe_tze_doomsayer_shot		false
singe_ungor_shbow	false	singe_ungor_sharrow	bow	false
singe_ungor_vibow	false	singe_ungor_viarrow	bow	false
singe_warrior_thrwaxe	false	singe_thrwaxe		false
singe_yeomen_flamebow	false	singe_yeoman_flamearrow	bow	false
singe_yeomen_poxbow	false	singe_yeoman_poxarrow	bow	false
sisterwatch_bow	false	sisterwatch_arrow	bow	false
