key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!TW_Millennium_Public
wh_twm_emp_12_shotgun_long	false	wh_twm_emp_12_shotgun_long_shell	repeater_rifle	false
wh_twm_emp_12_shotgun_short	false	wh_twm_emp_12_shotgun_short_shell	repeater_rifle	false
wh_twm_emp_13,25mm_mg	false	wh_twm_emp_13,25mm_mg_bullet		false
wh_twm_emp_13,25mm_rifle	false	wh_twm_emp_13,25mm_rifle_bullet	deck_gunner_cannon	false
wh_twm_emp_17cm_mortar_dummy	false	wh_twm_emp_17cm_mortar_dummy_shell		false
wh_twm_emp_20mm_autocannon_airship_main	false	wh_twm_emp_20mm_autocannon_shot	deck_gunner_cannon	false
wh_twm_emp_20mm_autocannon_dummy	false	wh_twm_emp_20mm_autocannon_dummy_shot		false
wh_twm_emp_3,7cm_autocannon_dummy	false	wh_twm_emp_3,7cm_autocannon_dummy_shell		false
wh_twm_emp_5,7cm_cannon_ap	false	wh_twm_emp_5,7cm_cannon_ap_shot	great_cannon	false
wh_twm_emp_5,7cm_cannon_aphe	false	wh_twm_emp_5,7cm_cannon_aphe_shot	great_cannon	false
wh_twm_emp_5,7cm_cannon_he	false	wh_twm_emp_5,7cm_cannon_he_shell	great_cannon	false
wh_twm_emp_50mm_rocket	false	wh_twm_emp_50mm_rocket_he	rocket_battery	false
wh_twm_emp_7,58cm_mortar	false	wh_twm_emp_7,58cm_mortar_he_shell	grenade_launcher	false
wh_twm_emp_7,7cm_cannon_battery_8	false	wh_twm_emp_7,7cm_cannon_battery_8_shell	great_cannon	false
wh_twm_emp_7,92mm_carbine_regular	false	wh_twm_emp_7,92mm_carbine_regular_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_carbine_veteran	false	wh_twm_emp_7,92mm_carbine_veteran_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_mg15Na_hip_carry	false	wh_twm_emp_7,92mm_mg15Na_hip_carry_bullet		true
wh_twm_emp_7,92mm_mg_airship_main	false	wh_twm_emp_7,92mm_mg_airship_bullet		false
wh_twm_emp_7,92mm_mg_vehicle_dummy	false	wh_twm_emp_7,92mm_mg_vehicle_dummy_bullet		true
wh_twm_emp_7,92mm_mg_vehicle_seccondary	false	wh_twm_emp_7,92mm_mg_vehicle_bullet		true
wh_twm_emp_7,92mm_rifle_dummy	false	wh_twm_emp_7,92mm_rifle_dummy_bullet		false
wh_twm_emp_7,92mm_rifle_magic	false	wh_twm_emp_7,92mm_rifle_magic_metal_bullet	wh2_dlc12_warplock_jezzails	false
wh_twm_emp_7,92mm_rifle_militia	false	wh_twm_emp_7,92mm_rifle_militia_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_rifle_regular	false	wh_twm_emp_7,92mm_rifle_regular_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_rifle_scoped	false	wh_twm_emp_7,92mm_rifle_scoped_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_rifle_scoped_ror	false	wh_twm_emp_7,92mm_rifle_scoped_ror_bullet	repeater_rifle_silencer	false
wh_twm_emp_7,92mm_rifle_veteran	false	wh_twm_emp_7,92mm_rifle_veteran_bullet	wh_twm_7,92mm_rifle	false
wh_twm_emp_7,92mm_twin_mg_biplane	false	wh_twm_emp_7,92mm_twin_mg_biplane_bullet		false
wh_twm_emp_8,8cm_cannon_dummy	false	wh_twm_emp_8,8cm_cannon_aphe_dummy_shell		false
wh_twm_emp_9mm_pistol	false	wh_twm_emp_9mm_pistol_bullet	wh_twm_9mm_pistol	false
wh_twm_emp_9mm_pistol_precursor	true	wh_twm_emp_9mm_pistol_bullet	wh_twm_9mm_pistol	false
wh_twm_emp_9mm_pistol_sidearm	false	wh_twm_emp_9mm_pistol_bullet	wh_twm_9mm_pistol	true
wh_twm_emp_9mm_smg	false	wh_twm_emp_9mm_smg_bullet		false
wh_twm_emp_flamethrower	false	wh_twm_emp_flamethrower_burst	drakegun	false
wh_twm_emp_fragmentation_grenade_stick	false	wh_twm_emp_fragmentation_grenade_stick	javelin	false
wh_twm_emp_gas_thrower	false	wh_twm_emp_gas_thrower_burst	drakegun	false
wh_twm_emp_gelt_searing_spike	false	wh_twm_emp_gelt_searing_spike		true
wh_twm_emp_grenade_rifle_early	false	wh_twm_emp_rifle_grenade	grenade_launcher	false
wh_twm_emp_heavy_tank_flamethrower	false	wh_twm_emp_heavy_tank_flamethrower_burst	drakegun	false
