key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!scm_totn
eyri_jag	true	eyri_jag	javelin	false
hkrul_asta_bow	false	hkrul_asta_bow	bow_LH	false
hkrul_beorg_axe	false	hkrul_beorg_axe	javelin	false
hkrul_birna	false	hkrul_birna	bow_LH	false
hkrul_haraldur_javelin	false	hkrul_haraldur_javelin	javelin	false
hkrul_mermedus	false	hkrul_mermedus	javelin	false
hkrul_oda	false	hkrul_oda	javelin	false
hkrul_sarl_hunters	false	hkrul_sarl_hunters	bow	false
hkrul_sarl_hunters_ror	false	hkrul_sarl_hunters_ror	bow	false
hkrul_sayl	false	hkrul_sayl	wh2_dlc14_medusa_gaze	false
hkrul_verdandi	false	hkrul_verdandi	bow_LH	false
scm_nor_javelin_longship	false	scm_nor_javelin_longship		false
wh_mod_nor_catapult_siege_tower	false	wh_mod_dwf_siege_tower_fused_beer_keg		false
wh_mod_nor_javelin_war_wagons	false	wh_mod_nor_war_wagons_javelin	javelin	false
wh_nor_javelin_longship	false	wh_nor_javelin_longship		false
