key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!!!!!Zayli_Complete_Mod_Compilation
wh_main_brt_royal_longbow	false	wh_brt_royal_longbow_fire	bow	false
zayli_artois_bow_ror	false	zayli_artois_bow_ror	bow	false
zayli_languille_bow_ror	false	zayli_languille_bow_ror	bow	false
zayli_mousillon_bow_ror	false	zayli_mousillon_bow_ror	bow	false
zayli_royal_crossbow	false	zayli_royal_crossbow_bolt	bow	false
zayli_royal_yeomen_bow	false	zayli_royal_yeomen_arrow	bow	false
zayli_wh_main_brt_longbow_men_at_arms	false	zayli_wh_main_brt_longbow_men_at_arms_arrow		false
zayli_wh_main_brt_longbow_men_at_arms_fire	false	zayli_wh_main_brt_longbow_men_at_arms_arrow_fire		false
zayli_wh_main_brt_longbow_men_at_arms_pox	false	zayli_wh_main_brt_longbow_men_at_arms_arrow_pox		false
