key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!obsidian_lustria_rises
lzd_ancient_razordon	false	lzd_ancient_razordon		false
lzd_salamander_firestream	false	wh2_dlc12_lzd_salamander_firestream		false
obsidian_lzd_blowpipe_chamelon_skinks_conalxa	false	obsidian_lzd_blowpipe_chamelon_skinks_conalxa	blowpipe	false
obsidian_lzd_blowpipe_chamelon_stalkers_conalxa	true	obsidian_lzd_blowpipe_chamelon_stalkers_conalxa	blowpipe	false
obsidian_lzd_cha_chameleon_skink_prowler	true	obsidian_lzd_cha_chameleon_skink_prowler	blowpipe	false
obsidian_lzd_cha_chameleon_skink_sentinel	false	obsidian_lzd_cha_chameleon_skink_sentinel	blowpipe	false
obsidian_lzd_eyes_in_canopy_darts	false	obsidian_lzd_eyes_in_canopy_darts	blowpipe	false
obsidian_lzd_fireleech_bolas_terradon_sotek	false	obsidian_lzd_fireleech_bolas_terradon_sotek		false
obsidian_lzd_fireleech_skink_chief	false	obsidian_lzd_fireleech_skink_chief		false
obsidian_lzd_razordon_vengeful_shards	false	obsidian_lzd_razordon_vengeful_shards	razordon_spike	false
obsidian_lzd_salamander_fire_lizards	false	obsidian_lzd_salamander_fire_lizards		false
