key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!scm_legendary
hcs_morskittar_proj	false	wh2_dlc12_weapon_abilities_storm_daemon		false
hunt_dwf_riggers_bomb	false	hunt_dwf_riggers_bomb		false
hunt_slayer_pirate_grudge_raker_bullet	false	hunt_slayer_pirate_grudge_raker_bullet	repeater_gun_LH	false
kou_lilaeth_war_altar_bolt	false	kou_lilaeth_war_altar_bolt		false
kou_meadow_chariot_javelins_missile_weapon	false	kou_meadow_chariot_javelins_projectile	javelin	false
kou_oreon_ll_bow_weapon	false	kou_oreon_ll_arrow	bow_LH	false
kou_skaw_throw_hawk_missile_weapon	false	kou_skaw_throw_hawk_projectile		false
kou_zlatgar_rider_missile	false	kou_zlatgar_rider_missile	razordon_spike	false
phy_torston_throwing_axe	false	phy_torston_throwing_axe		false
shakkara_handbow	false	shakkara_handbow	crossbow	false
str_brudd_cannon	false	str_brudd_cannon	grand_cannon	false
str_ilja_bow	false	str_ilja_bow	bow_LH	false
str_khoros	false	str_khoros		false
str_khoros_hounds	false	str_khoros_hounds		false
str_lurklox_throwing_star	false	str_lurklox_warpstar_projectile	javelin	false
str_nanye_cower	false	str_nanye_cower	iron_hail_gunner	false
str_nastasya_ice_guard_bow	false	str_nastasya_ice_guard_bow	bow	false
str_natty_gun	false	str_natty_gun	wh2_dlc12_warplock_jezzails	false
str_scribes_proj	false	str_scribes_proj		false
str_shadowblade_clone	false	str_shadowblade_clone	none	false
str_shadowblade_clone_up	false	str_shadowblade_clone_up	none	false
str_shadowblade_throw	false	str_shadowblade_throw	none	false
str_slambo_throw	false	str_slambo_throw	none	false
str_sneek	false	str_sneek	globe	false
str_sneek_clone	false	str_sneek_clone	globe	false
str_sneek_clone_up	false	str_sneek_clone_up	globe	false
str_targog_harpoon	false	str_targog_harpoon		false
str_ulrika_bow	false	str_ulrika_bow	bow	false
str_vazgrat_pistol	false	str_vazgrat_pistol	pistol	false
str_veskit	true	str_veskit	wh2_dlc12_warplock_jezzails	false
str_xuqls_flames	false	str_xuqls_flames	none	false
