key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!xou_age_TKExtended
Hieroscorpion_Ranged	true	Hieroscorpion_Ranged	warpfiregun	false
MC_D_miss	false	MC_D_miss	warpfiregun	false
MC_L_miss	false	MC_L_miss	warpfiregun	false
MC_N_miss	false	MC_N_miss	warpfiregun	false
RORarcher_bow	false	RORarcher_arrow	bow	false
Serpentguard_ranged	false	Serpentguard_ranged		false
Serpentguard_rangedRoR	false	Serpentguard_rangedRoR		false
TMB_Cav_Teir2_Bow_Proj	false	TMB_Cav_Teir2_Bow_Arrow	bow	false
Tomb_Heavy_Jav	false	Tomb_Heavy_Jav	javelin	false
Tomb_Light_Jav	false	Tomb_Light_Jav	javelin	false
agemo_nehekhara_archers_bow	false	agemo_nehekhara_archers_arrow	bow	false
agemo_tmb_royal_archers_bow	false	agemo_tmb_royal_archers_arrow	bow	false
agemo_tomb_guard_archers_bow	false	agemo_tomb_guard_archers_arrow	bow	false
tmb_asp	false	tmb_asp	bow	false
tmb_serpent	false	tmb_serpent	bow	false
vultureliteshortbow	false	vultureliteshortbow_arrow	bow	false
vulturemastershortbow	false	vulturemastershortbow_arrow	bow	false
vultureshortbow	false	vultureshortbow_arrow	bow	false
